,ExecTime,TransNo,"Weight, %","Percent, %"
0,170.0,81.0,0.00810183101380912,0.00810183101380912
1,175.0,5954.0,0.5955345908175248,0.6036364218313339
2,180.0,80566.0,8.058421203191921,8.662057625023255
3,185.0,195142.0,19.518611206132586,28.18066883115584
4,190.0,224264.0,22.431469512109736,50.61213834326558
5,195.0,169721.0,16.975936561662934,67.5880749049285
6,200.0,94244.0,9.426530395869467,77.01460530079797
7,205.0,39717.0,3.9725978071044055,80.98720310790237
8,210.0,16765.0,1.6768789746482704,82.66408208255065
9,215.0,8733.0,0.8734974104147537,83.5375794929654
10,220.0,5751.0,0.5752300019804476,84.11280949494585
11,225.0,4668.0,0.4669055206476664,84.57971501559352
12,230.0,5301.0,0.530219829681508,85.10993484527503
13,235.0,7017.0,0.7018586200481309,85.81179346532316
14,240.0,10344.0,1.0346338272449573,86.84642729256812
15,245.0,15100.0,1.510341337142194,88.35676862971032
16,250.0,22285.0,2.2290037548485957,90.58577238455891
17,255.0,28354.0,2.836040945253627,93.42181332981254
18,260.0,26104.0,2.6109900837589297,96.03280341357147
19,265.0,18247.0,1.8251124754194448,97.85791588899092
20,270.0,10306.0,1.0308329682508248,98.88874885724174
21,275.0,4778.0,0.4779080072096294,99.36665686445137
22,280.0,1839.0,0.18394157079499968,99.55059843524637
23,285.0,611.0,0.06111381172144905,99.61171224696783
24,290.0,208.0,0.020804701862620952,99.63251694883044
25,295.0,76.0,0.007601717988265348,99.64011866681871
26,300.0,43.0,0.004300972019676447,99.64441963883839
27,305.0,34.0,0.0034007685736976555,99.64782040741208
28,310.0,30.0,0.003000678153262637,99.65082108556534
29,315.0,21.0,0.0021004747072838463,99.65292156027263
30,320.0,16.0,0.0016003616817400735,99.65452192195437
31,325.0,12.0,0.0012002712613050548,99.65572219321568
32,330.0,2.0,0.00020004521021750918,99.6559222384259
33,335.0,4.0,0.00040009042043501837,99.65632232884634
34,340.0,3.0,0.0003000678153262637,99.65662239666167
35,345.0,1.0,0.00010002260510875459,99.65672241926679
36,350.0,0.0,0.0,99.65672241926679
37,355.0,0.0,0.0,99.65672241926679
38,360.0,3.0,0.0003000678153262637,99.65702248708212
39,365.0,0.0,0.0,99.65702248708212
40,370.0,0.0,0.0,99.65702248708212
41,375.0,0.0,0.0,99.65702248708212
42,380.0,2.0,0.00020004521021750918,99.65722253229234
43,385.0,7.0,0.000700158235761282,99.6579226905281
44,390.0,117.0,0.011702644797724286,99.66962533532582
45,395.0,261.0,0.026105899933384944,99.6957312352592
46,400.0,190.0,0.01900429497066337,99.71473553022986
47,405.0,49.0,0.004901107650328974,99.71963663788019
48,410.0,48.0,0.004801085045220219,99.7244377229254
49,415.0,63.0,0.006301424121851538,99.73073914704726
50,420.0,94.0,0.00940212488022293,99.74014127192748
51,425.0,81.0,0.00810183101380912,99.74824310294129
52,430.0,61.0,0.006101378911634029,99.75434448185293
53,435.0,67.0,0.006701514542286557,99.76104599639521
54,440.0,59.0,0.00590133370141652,99.76694733009663
55,445.0,92.0,0.009202079670005421,99.77614940976663
56,450.0,145.0,0.014503277740769415,99.7906526875074
57,455.0,256.0,0.025605786907841176,99.81625847441525
58,460.0,291.0,0.029106578086647582,99.8453650525019
59,465.0,250.0,0.025005651277188644,99.87037070377909
60,470.0,183.0,0.01830413673490209,99.88867484051399
61,475.0,133.0,0.01330300647946436,99.90197784699345
