,ExecTime,TransNo,"Weight, %","Percent, %"
0,175.0,20.0,37.735849056603776,37.735849056603776
1,180.0,9.0,16.9811320754717,54.716981132075475
2,185.0,8.0,15.09433962264151,69.81132075471699
3,190.0,4.0,7.547169811320755,77.35849056603774
4,195.0,2.0,3.7735849056603774,81.13207547169812
5,200.0,1.0,1.8867924528301887,83.01886792452831
6,205.0,3.0,5.660377358490567,88.67924528301887
7,210.0,3.0,5.660377358490567,94.33962264150944
8,215.0,0.0,0.0,94.33962264150944
9,220.0,1.0,1.8867924528301887,96.22641509433963
10,225.0,1.0,1.8867924528301887,98.11320754716982
